【關於】,#genre#
TVB功夫(粵),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GBJIRz&tk=88i0dBPf9qRn
TVB功夫(國),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LL42vO&tk=88i0dBPf9qRn
TVB千禧經典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nG8ZzJ&tk=88i0dBPf9qRn
MYTV_SUPER黃金翡翠,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vKHGh7&tk=88i0dBPf9qRn
MYTV_SUPER經典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uoU9R3&tk=88i0dBPf9qRn
MYTV_SUPER黃金華劇,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lkuYjw&tk=88i0dBPf9qRn
MYTV_SUPER亞洲劇,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jO4kk3&tk=88i0dBPf9qRn
MYTV_SUPER粵語片,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nXKteY&tk=88i0dBPf9qRn
MYTV_SUPER戲曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CbinRP&tk=88i0dBPf9qRn
天映經典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fW2Y4s&tk=88i0dBPf9qRn
天映經典(粵),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7apkCz&tk=88i0dBPf9qRn
天映頻道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cVRXjN&tk=88i0dBPf9qRn
天映頻道(印),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L35Vzz&tk=88i0dBPf9qRn
中國電影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DRngzF&tk=88i0dBPf9qRn
PopC電影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zJUc42&tk=88i0dBPf9qRn
創世電視,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=b2NT3y&tk=88i0dBPf9qRn
港版美亚电影(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bHmsg9&tk=88i0dBPf9qRn
港版美亚电影(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VV5cgM&tk=88i0dBPf9qRn
